code,dispensing_patients
C84124,0
C84125,403
C84127,0
C84129,0
C84131,0
C84133,0
C84135,0
C84136,0
C84138,0
C84140,0
C84142,0
C84144,0
C84145,0
C84150,0
C84151,0
C84602,0
C84605,0
C84612,0
C84613,801
C84619,0
C84621,0
C84624,0
C84628,0
C84629,0
C84633,0
C84635,0
C84637,0
C84646,871
C84647,0
C84650,0
C84654,1
C84656,0
C84658,0
C84660,4018
C84664,0
C84667,0
C84672,0
C84676,0
C84679,0
C84680,0
C84682,0
C84683,0
C84688,0
C84691,0
C84692,2637
C84693,0
C84694,0
C84695,0
C84696,0
C84698,0
C84703,0
C84704,0
C84705,0
C84709,0
C84710,0
C84712,0
C84714,0
C84717,0
C84720,0
C84721,0
C85001,0
C85003,0
C85004,7555
C85005,0
C85006,0
C85007,0
C85008,0
C85009,0
C85010,0
C85013,0
C85014,0
C85015,0
C85016,0
C85017,0
C85018,0
C85019,0
C85020,575
C85022,0
C85023,0
C85024,0
C85026,0
C85028,0
C85030,0
C85033,0
C85614,0
C85619,0
C85622,0
C85623,1518
C85628,0
C85629,0
C86001,0
C86002,0
C86003,0
C86005,0
C86006,0
C86007,0
C86009,3742
C86011,0
C86012,0
C86013,0
C86014,0
C86015,0
C86016,0
C86017,0
C86018,0
C86019,0
C86020,0
C86021,0
C86022,0
C86023,0
C86024,0
C86025,0
C86026,0
C86029,0
C86030,0
C86032,0
C86033,0
C86034,0
C86037,0
C86038,0
C86039,0
C86605,0
C86606,0
C86609,892
C86611,0
C86613,0
C86614,0
C86616,0
C86621,0
C86623,0
C86625,0
C86626,0
C87002,1323
C87003,0
C87004,2434
C87005,0
C87006,0
C87007,0
C87008,0
C87009,0
C87010,0
C87012,0
C87013,0
C87014,0
C87015,0
C87016,811
C87017,0
C87018,0
C87020,0
C87022,0
C87023,0
C87024,0
C87029,0
C87030,0
C87031,0
C87603,0
C87604,326
C87606,0
C87608,0
C87616,0
C87620,0
C87621,0
C87622,0
C88005,0
C88006,0
C88007,0
C88008,0
C88009,0
C88010,0
C88011,0
C88014,0
C88015,0
C88016,0
C88018,0
C88019,0
C88020,0
C88021,0
C88022,0
C88023,0
C88024,0
C88025,0
C88026,0
C88027,0
C88028,0
C88030,0
C88031,0
C88032,0
C88033,0
C88034,0
C88035,0
C88036,0
C88037,0
C88038,0
C88039,0
C88040,1205
C88041,0
C88042,0
C88043,0
C88044,0
C88045,0
C88046,0
C88047,0
C88048,0
C88049,0
C88050,0
C88051,0
C88052,0
C88053,0
C88054,0
C88057,0
C88059,0
C88060,0
C88062,0
C88068,0
C88069,0
C88070,0
C88072,0
C88073,0
C88074,437
C88076,0
C88077,0
C88078,0
C88079,0
C88082,0
C88083,0
C88084,0
C88085,0
C88086,0
C88087,0
C88088,0
C88090,0
C88091,0
C88092,0
C88095,0
C88096,0
C88622,0
C88627,0
C88631,0
C88643,0
C88647,0
C88648,0
C88652,0
C88655,0
C88656,0
D81001,0
D81002,2827
D81003,0
D81004,4099
D81005,0
D81007,0
D81008,6813
D81009,0
D81010,0
D81011,4026
D81012,0
D81013,0
D81014,8856
D81015,5148
D81016,0
D81017,0
D81018,2365
D81019,0
D81020,0
D81021,2097
D81022,922
D81023,0
D81024,0
D81025,0
D81026,0
D81027,1026
D81028,0
D81029,151
D81030,3810
D81031,0
D81032,0
D81033,977
D81034,3866
D81035,9091
D81036,2068
D81037,0
D81038,4757
D81039,1334
D81040,1377
D81041,5705
D81042,370
D81043,11858
D81044,0
D81045,2664
D81046,2095
D81047,3134
D81049,2898
D81050,0
D81051,2305
D81052,0
D81053,0
D81054,0
D81055,5241
D81056,0
D81057,0
D81058,6519
D81059,2431
D81060,1719
D81061,1461
D81062,3969
D81063,0
D81064,0
D81065,0
D81066,0
D81070,0
D81071,4174
D81073,0
D81074,692
D81078,0
D81081,2482
D81082,0
D81084,3275
D81085,2806
D81086,0
D81087,2210
D81602,0
D81603,0
D81605,0
D81606,878
D81607,2260
D81611,2031
D81612,346
D81615,0
D81616,0
D81618,338
D81619,1925
D81620,0
D81622,0
D81623,864
D81624,0
D81625,0
D81629,0
D81630,0
D81631,0
D81633,0
D81634,0
D81636,0
D81637,0
D81638,0
D81639,0
D81641,0
D81643,0
D81645,0
D82001,10596
D82002,0
D82003,0
D82004,3400
D82005,1394
D82006,4437
D82007,0
D82008,0
D82009,4778
D82010,4903
D82011,0
D82012,0
D82013,0
D82015,3414
D82016,4627
D82017,0
D82018,0
D82019,0
D82020,0
D82022,2156
D82023,589
D82024,457
D82025,5107
D82026,0
D82027,414
D82028,4380
D82029,3957
D82030,3984
D82031,2423
D82032,4146
D82034,6115
D82035,6650
D82036,5151
D82037,6487
D82038,1071
D82039,5368
D82040,0
D82041,0
D82042,5630
D82043,6744
D82044,1058
D82045,0
D82046,4114
D82047,0
D82048,0
D82049,3571
D82050,688
D82051,0
D82053,2554
D82054,5893
D82056,9498
D82057,3534
D82058,2028
D82059,3340
D82060,0
D82062,3255
D82063,0
D82064,3885
D82065,3400
D82066,2097
D82067,0
D82068,4238
D82069,0
D82070,6030
D82071,0
D82072,3142
D82073,0
D82076,0
D82078,4739
D82079,4937
D82080,5687
D82081,0
D82084,3503
D82085,3229
D82087,0
